,description
8018,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak encompasses 216.0 calories. It contains 16.0 grams of fat, 0.068 grams of cholesterol, and 0.00214 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8019,"English muffins, with calcium propionate (includes sourdough), enriched, toasted, plain shows 270.0 calories. The nutritional breakdown includes 2.0 grams of fat, 0.0 grams of cholesterol, and 0.0046500000000000005 grams of iron, along with 3.47 grams of sugars and 52.65 grams of carbohydrates."
8020,"The food named Oil, used for whipped toppings and coffee whiteners, coconut (hydrogenated), industrial has 880.0 calories. It contains 100.0 grams of fat, 0.0 grams of cholesterol, 0.00015 grams of iron, 0.0 grams of sugar, and 0.0 grams of carbohydrates."
8021,"Infant formula, not reconstituted, powder, with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION carries 517.0 calories. It has 28.0 grams of fat, 0.0 grams of cholesterol, and 0.00926 grams of iron, as well as 52.97 grams of sugars and 53.57 grams of carbohydrates."
8022,"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Grilled Chicken and Sausage Gumbo contains 57.0 calories. It has 1.6 grams of fat, 0.006 grams of cholesterol, and 0.00015 grams of iron, plus 2.04 grams of sugars and 7.35 grams of carbohydrates."
8023,"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Beef with Country Vegetables Soup equals 61.0 calories. Nutritionally, it includes 1.2 grams of fat, 0.008 grams of cholesterol, and 0.00029 grams of iron, along with 1.22 grams of sugars and 8.57 grams of carbohydrates."
8024,"Pork, roasted, heated, separable lean only, bone-in, rump, ham and water product, cured contains 131.0 calories. In terms of nutrition, it has 4.7 grams of fat, 0.066 grams of cholesterol, and 0.00087 grams of iron. Additionally, it includes 1.15 grams of sugar and 1.15 grams of carbs."
8025,"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round indicates 128.0 calories. It contains 3.7 grams of fat, 0.059 grams of cholesterol, and 0.0019 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8026,"Cereals, without salt, stove-top, cooked with water, 1 minute cook time, CREAM OF WHEAT exhibits 56.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.0047 grams of iron, as well as 0.07 grams of sugars and 11.16 grams of carbohydrates."
8027,"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, domestic is a food with 243.0 calories. It provides 13.0 grams of fat, 0.106 grams of cholesterol, and 0.00214 grams of iron. You can also find 0.0 grams of sugars and 0.0 grams of carbohydrates in it."
8028,"Margarine, CANOLA HARVEST Soft Spread (canola, palm and palm kernel oils), tub, 80% fat reveals 730.0 calories. It contains 80.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 1.39 grams of carbohydrates."
8029,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round consists of 164.0 calories. It contains 7.7 grams of fat, 0.068 grams of cholesterol, and 0.00174 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8030,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round contains 168.0 calories. It has 8.2 grams of fat, 0.069 grams of cholesterol, and 0.00197 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
8031,"Cowpeas, with salt, boiled, cooked, mature seeds, common (blackeyes, crowder, southern) packs 116.0 calories. It has 0.5 grams of fat, 0.0 grams of cholesterol, and 0.0025099999999999996 grams of iron, as well as 3.3 grams of sugars and 20.76 grams of carbohydrates."
8032,"The food item Pork, pan-fried, cooked, separable lean only, boneless, center rib (chops), loin, fresh provides 224.0 calories. You can find 12.0 grams of fat, 0.07 grams of cholesterol, and 0.00078 grams of iron. It also contains 0.0 grams of sugars and 0.0 grams of carbohydrates."
8033,"Pork, roasted, cooked, bone-in, separable lean and fat, country-style ribs, loin, fresh contains 359.0 calories. It has 29.0 grams of fat, 0.091 grams of cholesterol, and 0.001 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
8034,"Pork, broiled, cooked, bone-in, separable lean and fat, country-style ribs, loin, fresh reflects 260.0 calories. Nutritionally, it includes 18.0 grams of fat, 0.087 grams of cholesterol, and 0.0009599999999999999 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8035,"Infant formula, with ARA and DHA, ready to feed, low iron, LIPIL, ENFAMIL, MEAD JOHNSON holds 64.0 calories. It contains 3.5 grams of fat, 0.001 grams of cholesterol, and 0.00046 grams of iron, along with 7.18 grams of sugars and 7.18 grams of carbohydrates."
8036,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, roast, eye of round, round serves up 128.0 calories. Nutritionally, it contains 3.4 grams of fat, 0.06 grams of cholesterol, and 0.00212 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8037,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round amounts to 140.0 calories. It includes 5.0 grams of fat, 0.062 grams of cholesterol, and 0.00206 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8038,"Beef, braised, cooked, separable lean and fat, brisket point end, imported, New Zealand is a food with 250.0 calories. It provides 14.0 grams of fat, 0.092 grams of cholesterol, and 0.00257 grams of iron. You can also find 0.0 grams of sugars and 0.0 grams of carbohydrates in it."
8039,"With 119.0 calories, Beef, raw, select, trimmed to 1/8"" fat, separable lean only, roast, eye of round, round offers 2.6 grams of fat, 0.058 grams of cholesterol, 0.0019199999999999998 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
8040,"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, top blade, chuck contains 217.0 calories. It has 12.0 grams of fat, 0.093 grams of cholesterol, and 0.00281 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
8041,"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, top blade, chuck totals 184.0 calories. It contains 8.0 grams of fat, 0.094 grams of cholesterol, and 0.0028 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8042,"The food named Pork, roasted, heated, separable lean and fat, bone-in, rump, ham -- water added, cured has 161.0 calories. It contains 8.6 grams of fat, 0.063 grams of cholesterol, 0.00069 grams of iron, 0.78 grams of sugar, and 0.99 grams of carbohydrates."
8043,"The food named Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib has 322.0 calories. It contains 28.0 grams of fat, 0.071 grams of cholesterol, 0.00172 grams of iron, 0.0 grams of sugar, and 0.0 grams of carbohydrates."
8044,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket supplies 277.0 calories. Nutritionally, it includes 22.0 grams of fat, 0.092 grams of cholesterol, and 0.00159 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8045,"Fast foods, vegetables and mayonnaise, large patty; with condiments, hamburger; single offers 226.0 calories. The nutritional breakdown includes 12.0 grams of fat, 0.033 grams of cholesterol, and 0.00299 grams of iron, along with 4.0 grams of sugars and 17.33 grams of carbohydrates."
8046,"Infant formula, not reconstituted, powder, AA LIPIL, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON produces 500.0 calories. It contains 26.0 grams of fat, 0.0 grams of cholesterol, and 0.009 grams of iron, as well as 51.0 grams of sugars and 51.0 grams of carbohydrates."
8047,"Milk, with added vitamin A and vitamin D, protein fortified, 1% milkfat, fluid, lowfat gives you 48.0 calories. It contains 1.2 grams of fat, 0.004 grams of cholesterol, and 5.9999999999999995e-05 grams of iron. Additionally, it includes 0.0 grams of sugar and 5.52 grams of carbs."
8048,"HOT POCKETS, frozen, and Cheddar Stuffed Sandwich, Broccoli, CROISSANT POCKETS Chicken provides 235.0 calories. It contains 8.6 grams of fat, 0.029 grams of cholesterol, and 0.00297 grams of iron, as well as 7.6 grams of sugars and 30.4 grams of carbohydrates."
8049,"Pork, pan-fried, cooked, separable lean only, bone-in, center rib (chops), loin, fresh contains 211.0 calories. It has 9.7 grams of fat, 0.077 grams of cholesterol, and 0.00088 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
8050,"Pork, roasted, cooked, separable lean and fat, boneless, sirloin (roasts), loin, fresh equals 192.0 calories. Nutritionally, it includes 7.3 grams of fat, 0.084 grams of cholesterol, and 0.00066 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8051,"Fast foods, vegetables and mayonnaise, large patty; with condiments, hamburger; double equals 252.0 calories. Nutritionally, it includes 16.0 grams of fat, 0.046 grams of cholesterol, and 0.0028 grams of iron, along with 3.52 grams of sugars and 13.74 grams of carbohydrates."
8052,"Pork, raw, separable lean and fat only, boneless, blade (chops or roasts), loin, fresh features 157.0 calories. The nutritional profile includes 7.9 grams of fat, 0.059 grams of cholesterol, and 0.00074 grams of iron, along with 0.0 grams of sugars and 0.76 grams of carbohydrates."
8053,"Beverages, fortified, Revive Fruit Punch, Glaceau Vitamin Water, The COCA-COLA company provides 0.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8054,"Beef, fast roasted, cooked, separable lean and fat, bolar blade, imported, New Zealand delivers 228.0 calories. It contains 11.0 grams of fat, 0.092 grams of cholesterol, and 0.00254 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8055,"Chicken, original seasoning, rotisserie, cooked, meat only, breast, broilers or fryers contributes 137.0 calories. Nutritionally, it has 2.8 grams of fat, 0.086 grams of cholesterol, and 0.00045 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8056,"Potatoes, oven-heated, frozen, salt not added in processing, cottage-cut, french fried serves up 218.0 calories. Nutritionally, it contains 8.2 grams of fat, 0.0 grams of cholesterol, and 0.00149 grams of iron, along with 0.0 grams of sugars and 34.03 grams of carbohydrates."
8057,"Infant Formula, with ARA and DHA, ready-to-feed, ENFACARE LIPIL, ENFAMIL, MEAD JOHNSON offers 71.0 calories. The nutritional breakdown includes 3.8 grams of fat, 0.001 grams of cholesterol, and 0.00128 grams of iron, along with 7.4 grams of sugars and 7.4 grams of carbohydrates."
8058,"Pork, unheated, separable lean and fat, bone-in, slice, ham with natural juices, cured gives you 159.0 calories. It contains 7.4 grams of fat, 0.063 grams of cholesterol, and 0.0010500000000000002 grams of iron. Additionally, it includes 0.04 grams of sugar and 0.17 grams of carbs."
8059,"Pork, unheated, separable lean and fat, bone-in, shank, ham with natural juices, cured supplies 191.0 calories. Nutritionally, it includes 11.0 grams of fat, 0.062 grams of cholesterol, and 0.00101 grams of iron, along with 0.32 grams of sugars and 0.32 grams of carbohydrates."
8060,"Lamb, fast roasted, cooked, separable lean and fat, loin saddle, imported, New Zealand boasts 274.0 calories. The nutritional content includes 21.0 grams of fat, 0.076 grams of cholesterol, and 0.0014399999999999999 grams of iron, as well as 0.0 grams of sugars and 0.1 grams of carbohydrates."
8061,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck registers 161.0 calories. It contains 9.0 grams of fat, 0.08 grams of cholesterol, and 0.00234 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8062,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck contains 175.0 calories. It has 11.0 grams of fat, 0.073 grams of cholesterol, and 0.0025299999999999997 grams of iron, plus 0.0 grams of sugars and 0.29 grams of carbohydrates."
8063,"Pork, raw, separable lean and fat, boneless, center rib (chops or roasts), loin, fresh is a food with 211.0 calories. It provides 14.0 grams of fat, 0.06 grams of cholesterol, and 0.0007099999999999999 grams of iron. You can also find 0.0 grams of sugars and 0.0 grams of carbohydrates in it."
8064,"The food item Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, flank provides 263.0 calories. You can find 16.0 grams of fat, 0.072 grams of cholesterol, and 0.00333 grams of iron. It also contains 0.0 grams of sugars and 0.0 grams of carbohydrates."
8065,"With 202.0 calories, Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, flank offers 9.3 grams of fat, 0.081 grams of cholesterol, 0.0018 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
8066,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil) indicates 605.0 calories. It contains 71.0 grams of fat, 0.023 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 0.16 grams of carbohydrates."
8067,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib boasts 288.0 calories. The nutritional content includes 24.0 grams of fat, 0.07 grams of cholesterol, and 0.00177 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8068,"The food item Chicken, batter, fried, cooked, meat and skin and giblets and neck, broilers or fryers provides 291.0 calories. You can find 18.0 grams of fat, 0.103 grams of cholesterol, and 0.0017900000000000001 grams of iron. It also contains 0.0 grams of sugars and 9.03 grams of carbohydrates."
8069,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, rib, domestic carries 232.0 calories. It has 13.0 grams of fat, 0.088 grams of cholesterol, and 0.00177 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8070,"For 235.0 calories, Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, rib, domestic provides 13.0 grams of fat, 0.091 grams of cholesterol, 0.00221 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
8071,"Lamb, fast roasted, cooked, separable lean only, boneless, loin, imported, New Zealand contains 156.0 calories. In terms of nutrition, it has 4.5 grams of fat, 0.086 grams of cholesterol, and 0.0020499999999999997 grams of iron. Additionally, it includes 0.0 grams of sugar and 0.0 grams of carbs."
8072,"Pork, roasted, cooked, separable lean only, bone-in, center loin (roasts), loin, fresh holds 194.0 calories. It contains 8.0 grams of fat, 0.075 grams of cholesterol, and 0.00093 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
